,false_positive_rate,true_positive_rate,auc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
0,0.0,0.0,0.9975073796562698,0.9831885456885456,0.9917953667953668,0.9745817245817245,0.9750118614581685,0.9917953667953668,0.9833320041470611,0.9665202965485384
1,0.0,0.0185006435006435,,,,,,,,
2,0.0,0.07223294723294724,,,,,,,,
3,0.0,0.07255469755469755,,,,,,,,
4,0.0,0.08558558558558559,,,,,,,,
5,0.0,0.08574646074646075,,,,,,,,
6,0.0,0.09395109395109395,,,,,,,,
7,0.0,0.10328185328185328,,,,,,,,
8,0.0,0.10344272844272845,,,,,,,,
9,0.0,0.10392535392535393,,,,,,,,
10,0.0,0.11212998712998713,,,,,,,,
11,0.0,0.1122908622908623,,,,,,,,
12,0.0,0.1130952380952381,,,,,,,,
13,0.0,0.11325611325611326,,,,,,,,
14,0.0,0.11373873873873874,,,,,,,,
15,0.0,0.11438223938223938,,,,,,,,
16,0.0,0.11534749034749035,,,,,,,,
17,0.0,0.11663449163449163,,,,,,,,
18,0.0,0.1167953667953668,,,,,,,,
19,0.0,0.1204954954954955,,,,,,,,
20,0.0,0.12081724581724582,,,,,,,,
21,0.0,0.12162162162162163,,,,,,,,
22,0.0,0.12210424710424711,,,,,,,,
23,0.0,0.12242599742599743,,,,,,,,
24,0.0,0.12339124839124839,,,,,,,,
25,0.0,0.12596525096525096,,,,,,,,
26,0.0,0.1262870012870013,,,,,,,,
27,0.0,0.12902187902187903,,,,,,,,
28,0.0,0.12998712998713,,,,,,,,
29,0.0,0.13014800514800515,,,,,,,,
30,0.0,0.13127413127413126,,,,,,,,
31,0.0,0.1315958815958816,,,,,,,,
32,0.0,0.13175675675675674,,,,,,,,
33,0.0,0.1336872586872587,,,,,,,,
34,0.0,0.13416988416988418,,,,,,,,
35,0.0,0.13497425997425996,,,,,,,,
36,0.0,0.13561776061776062,,,,,,,,
37,0.0,0.1365830115830116,,,,,,,,
38,0.0,0.13690476190476192,,,,,,,,
39,0.0,0.13706563706563707,,,,,,,,
40,0.0,0.13754826254826255,,,,,,,,
41,0.0,0.13787001287001288,,,,,,,,
42,0.0,0.13835263835263836,,,,,,,,
43,0.0,0.13851351351351351,,,,,,,,
44,0.0,0.14157014157014158,,,,,,,,
45,0.0,0.14285714285714285,,,,,,,,
46,0.0,0.1435006435006435,,,,,,,,
47,0.0,0.143983268983269,,,,,,,,
48,0.0,0.14527027027027026,,,,,,,,
49,0.0,0.14543114543114544,,,,,,,,
50,0.0,0.14623552123552125,,,,,,,,
51,0.0,0.14655727155727155,,,,,,,,
52,0.0,0.14687902187902188,,,,,,,,
53,0.0,0.14703989703989703,,,,,,,,
54,0.0,0.14897039897039896,,,,,,,,
55,0.0,0.15025740025740025,,,,,,,,
56,0.0,0.15090090090090091,,,,,,,,
57,0.0,0.1517052767052767,,,,,,,,
58,0.0,0.15395752895752896,,,,,,,,
59,0.0,0.1541184041184041,,,,,,,,
60,0.0,0.15508365508365507,,,,,,,,
61,0.0,0.15685328185328185,,,,,,,,
62,0.0,0.15765765765765766,,,,,,,,
63,0.0,0.157979407979408,,,,,,,,
64,0.0,0.15878378378378377,,,,,,,,
65,0.0,0.1591055341055341,,,,,,,,
66,0.0,0.15974903474903476,,,,,,,,
67,0.0,0.16007078507078507,,,,,,,,
68,0.0,0.1603925353925354,,,,,,,,
69,0.0,0.16377091377091377,,,,,,,,
70,0.0,0.1648970398970399,,,,,,,,
71,0.0,0.16554054054054054,,,,,,,,
72,0.0,0.16602316602316602,,,,,,,,
73,0.0,0.16731016731016732,,,,,,,,
74,0.0,0.16924066924066924,,,,,,,,
75,0.0,0.16988416988416988,,,,,,,,
76,0.0,0.1702059202059202,,,,,,,,
77,0.0,0.1706885456885457,,,,,,,,
78,0.0,0.17117117117117117,,,,,,,,
79,0.0,0.1718146718146718,,,,,,,,
80,0.0,0.17213642213642213,,,,,,,,
81,0.0,0.17229729729729729,,,,,,,,
82,0.0,0.17294079794079795,,,,,,,,
83,0.0,0.17326254826254825,,,,,,,,
84,0.0,0.17358429858429858,,,,,,,,
85,0.0,0.1739060489060489,,,,,,,,
86,0.0,0.1743886743886744,,,,,,,,
87,0.0,0.17471042471042472,,,,,,,,
88,0.0,0.17487129987129987,,,,,,,,
89,0.0,0.1751930501930502,,,,,,,,
90,0.0,0.17567567567567569,,,,,,,,
91,0.0,0.175997425997426,,,,,,,,
92,0.0,0.17631917631917632,,,,,,,,
93,0.0,0.17664092664092665,,,,,,,,
94,0.0,0.1776061776061776,,,,,,,,
95,0.0,0.1793758043758044,,,,,,,,
96,0.0,0.18146718146718147,,,,,,,,
97,0.0,0.18468468468468469,,,,,,,,
98,0.0,0.18532818532818532,,,,,,,,
99,0.0,0.18983268983268983,,,,,,,,
100,0.0,0.19111969111969113,,,,,,,,
101,0.0,0.19144144144144143,,,,,,,,
102,0.0,0.19176319176319176,,,,,,,,
103,0.0,0.1919240669240669,,,,,,,,
104,0.0,0.19272844272844272,,,,,,,,
105,0.0,0.19658944658944658,,,,,,,,
106,0.0,0.1969111969111969,,,,,,,,
107,0.0,0.19932432432432431,,,,,,,,
108,0.0,0.1998069498069498,,,,,,,,
109,0.0,0.20077220077220076,,,,,,,,
110,0.0,0.2010939510939511,,,,,,,,
111,0.0,0.20141570141570142,,,,,,,,
112,0.0,0.20205920205920205,,,,,,,,
113,0.0,0.20334620334620335,,,,,,,,
114,0.0,0.20366795366795368,,,,,,,,
115,0.0,0.2043114543114543,,,,,,,,
116,0.0,0.20463320463320464,,,,,,,,
