feature,fscore
entropy3,0.019230769230769232
fl,0.019230769230769232
mi9,0.019230769230769232
toentropy3,0.019230769230769232
mi17,0.019230769230769232
mi7,0.038461538461538464
mi11,0.038461538461538464
getoentropy3,0.057692307692307696
mi1,0.07692307692307693
fp,0.07692307692307693
getoentropy4,0.1346153846153846
ll,0.1346153846153846
length,0.15384615384615385
lp,0.19230769230769232
