feature,fscore
mi7,0.020833333333333332
entropy3,0.020833333333333332
mi4,0.020833333333333332
fl,0.020833333333333332
mi2,0.020833333333333332
mi9,0.020833333333333332
getoentropy5,0.041666666666666664
mi11,0.041666666666666664
fp,0.0625
getoentropy3,0.0625
length,0.0625
ll,0.10416666666666667
lp,0.25
getoentropy4,0.25
